nome,posicao,pais,ano_chegada,ano_saida,jogos,gols,titulos_conquistados
Rogério Ceni,Goleiro,Brasil,1990,2015,1237,131,18
Valdir Peres,Goleiro,Brasil,1973,1984,617,0,4
Jose Poy,Goleiro,Argentina,1950,1962,525,0,4
Zetti,Goleiro,Brasil,1990,1996,432,0,11
Gilmar Rinaldi,Goleiro,Brasil,1985,1990,253,0,5
De Sordi,Lateral,Brasil,1952,1965,544,0,2
Cafu,Lateral,Brasil,1989,1994,273,38,10
Pablo Forlán,Lateral,Uruguai,1970,1975,243,9,3
Nelsinho,Lateral,Brasil,1979,1992,512,9,6
Júnior,Lateral,Brasil,2004,2008,198,11,4
Leonardo,Lateral,Brasil,1990,2001,137,17,5
Cicinho,Lateral,Brasil,2004,2005,151,21,3
Zé Teodoro,Lateral,Brasil,1985,1991,264,7,3
Roberto Dias,Zagueiro,Brasil,1960,1973,527,80,3
Darío Pereyra,Zagueiro,Uruguai,1977,1988,453,37,4
Mauro Ramos,Zagueiro,Brasil,1948,1959,498,2,4
Diego Lugano,Zagueiro,Uruguai,2003,2017,213,13,4
Miranda,Zagueiro,Brasil,2006,2022,342,12,4
Ronaldão,Zagueiro,Brasil,1986,1993,302,13,8
Marcelo Bordon,Zagueiro,Brasil,1993,1999,238,8,3
Fabão,Zagueiro,Brasil,2004,2006,171,15,3
Rodrigo Caio,Zagueiro,Brasil,2011,2018,277,5,1
Beraldo,Zagueiro,Brasil,2022,2023,52,1,1
Bauer,Meia,Brasil,1944,1956,400,16,5
Rui,Meia,Brasil,1944,1953,273,6,4
Noronha,Meia,Brasil,1942,1951,298,14,5
Mineiro,Meia,Brasil,2005,2006,126,14,4
Josué,Meia,Brasil,2005,2007,157,7,4
Toninho Cerezo,Meia,Brasil,1992,1993,72,7,5
Dinho,Meia,Brasil,1992,1993,114,12,6
Hernanes,Meia,Brasil,2006,2021,330,58,3
Casemiro,Meia,Brasil,2010,2013,111,11,1
Richarlyson,Meia,Brasil,2005,2010,244,12,4
Raí,Meia,Brasil,1987,2000,395,128,9
Pedro Rocha,Meia,Uruguai,1970,1977,393,119,2
Pita,Meia,Brasil,1984,1988,249,47,3
Silas,Meia,Brasil,1985,1997,170,35,4
Zizinho,Meia,Brasil,1957,1959,67,27,1
Gérson,Meia,Brasil,1969,1972,73,12,2
Kaká,Meia,Brasil,2001,2014,155,51,1
Danilo,Meia,Brasil,2004,2006,194,37,4
Ganso,Meia,Brasil,2012,2016,214,24,1
Palhinha,Meia,Brasil,1992,1995,232,71,8
Jorge Wagner,Meia,Brasil,2007,2010,212,22,2
Antonio Sastre,Meia,Argentina,1943,1946,129,56,3
Serginho Chulapa,Atacante,Brasil,1973,1982,399,242,4
Luis Fabiano,Atacante,Brasil,2001,2015,352,212,2
França,Atacante,Brasil,1996,2002,327,182,5
Müller,Atacante,Brasil,1984,1996,386,160,10
Teixeirinha,Atacante,Brasil,1939,1956,525,188,6
Gino Orlando,Atacante,Brasil,1953,1962,453,233,2
Careca,Atacante,Brasil,1983,1987,191,115,3
Leônidas da Silva,Atacante,Brasil,1942,1950,211,144,5
Maurinho,Atacante,Brasil,1952,1959,347,136,2
Canhoteiro,Atacante,Brasil,1954,1963,413,105,2
Dagoberto,Atacante,Brasil,2007,2011,241,61,2
Borges,Atacante,Brasil,2007,2009,150,54,2
Aloísio Chulapa,Atacante,Brasil,2005,2008,124,23,3
Amoroso,Atacante,Brasil,2005,2005,29,16,2
Lucas Moura,Atacante,Brasil,2010,Presente,180,40,2
Antony,Atacante,Brasil,2018,2020,52,6,0
Jonathan Calleri,Atacante,Argentina,2016,Presente,175,65,1
Luciano,Atacante,Brasil,2020,Presente,210,70,1
David Neres,Atacante,Brasil,2016,2017,8,3,0
Dodô,Atacante,Brasil,1995,1999,169,93,1
Víctor Aristizábal,Atacante,Colombia,1996,1998,79,37,1
Diego Tardelli,Atacante,Brasil,2003,2008,140,39,3
Leandro,Atacante,Brasil,2006,2007,116,16,2
Washington,Atacante,Brasil,2009,2010,73,32,0
Piolin,Zagueiro,Brasil,1942,1946,152,0,3
